Match Date,Team 1 Name,Team 2 Name,Venue,Match Result,Top Scorer,Score
"3rd January, 2025",India,Australia,"Sydney Cricket Ground, Sydney",Australia won by 6 wickets,Rishabh Pant†,61
"26th December, 2024",India,Australia,"Melbourne Cricket Ground, Melbourne",Australia won by 184 runs,Steve Smith,140
"6th December, 2024",India,Australia,"Adelaide Oval, Adelaide",Australia won by 10 wickets,Travis Head,140
"22nd November, 2024",Australia,India,"Perth Stadium, Perth",India won by 295 runs,Yashasvi Jaiswal,161
"7th June, 2023",India,Australia,"Kennington Oval, London",Australia won by 209 runs,Travis Head,163
"1st March, 2023",India,Australia,"Holkar Cricket Stadium, Indore",Australia won by 9 wickets,Usman Khawaja,60
"17th February, 2023",Australia,India,"Arun Jaitley Stadium, Delhi",India won by 6 wickets,Usman Khawaja,81
"9th February, 2023",Australia,India,"Vidarbha Cricket Association Stadium, Nagpur",India won by an innings and 132 runs,Rohit Sharma*,120
"15th January, 2021",Australia,India,"Brisbane Cricket Ground, Brisbane",India won by 3 wickets,Marnus Labuschagne,108
"26th December, 2020",Australia,India,"Melbourne Cricket Ground, Melbourne",India won by 8 wickets,Ajinkya Rahane*,112
